UAR Code,Principal / Duplicate
TNS_0001_V,PRINCIPAL
TNS_0002_V,PRINCIPAL
TNS_0003_V,PRINCIPAL
TNS_0004_V,PRINCIPAL
TNS_0005_V,PRINCIPAL
TNS_0006_V,PRINCIPAL
TNS_0007_V,PRINCIPAL
TNS_0008_V,PRINCIPAL
TNS_0009_V,PRINCIPAL
TNS_0010_V,PRINCIPAL
TNS_0011_V,PRINCIPAL
TNS_0012_V,DUPLICATE
TNS_0013_V,PRINCIPAL
TNS_0014_V,PRINCIPAL
TNS_0015_V,PRINCIPAL
TNS_0016_V,PRINCIPAL
TNS_0017_V,PRINCIPAL
TNS_0018_V,PRINCIPAL
TNS_0019_V,DUPLICATE
TNS_0020_V,PRINCIPAL
TNS_0021_V,PRINCIPAL
TNS_0022_V,PRINCIPAL
TNS_0023_V,PRINCIPAL
TNS_0024_V,PRINCIPAL
TNS_0025_V,DUPLICATE
TNS_0026_V,PRINCIPAL
TNS_0027_V,PRINCIPAL
TNS_0028_V,PRINCIPAL
TNS_0029_V,PRINCIPAL
TNS_0030_V,PRINCIPAL
TNS_0031_V,DUPLICATE
TNS_0032_V,PRINCIPAL
TNS_0033_V,DUPLICATE
TNS_0034_V,PRINCIPAL
TNS_0035_V,PRINCIPAL
TNS_0036_V,PRINCIPAL
TNS_0037_V,PRINCIPAL
TNS_0038_V,PRINCIPAL
TNS_0039_V,PRINCIPAL
TNS_0040_V,PRINCIPAL
TNS_0041_V,PRINCIPAL
TNS_0042_V,PRINCIPAL
TNS_0043_V,PRINCIPAL
TNS_0044_V,PRINCIPAL
TNS_0045_V,PRINCIPAL
TNS_0046_V,PRINCIPAL
TNS_0047_V,PRINCIPAL
TNS_0048_V,PRINCIPAL
TNS_0049_V,PRINCIPAL
TNS_0050_V,PRINCIPAL
TNS_0051_V,PRINCIPAL
TNS_0052_V,PRINCIPAL
TNS_0053_V,PRINCIPAL
TNS_0054_V,PRINCIPAL
TNS_0055_V,PRINCIPAL
TNS_0056_V,PRINCIPAL
TNS_0057_V,PRINCIPAL
TNS_0058_V,PRINCIPAL
TNS_0059_V,PRINCIPAL
TNS_0060_V,PRINCIPAL
TNS_0061_V,PRINCIPAL
TNS_0062_V,PRINCIPAL
TNS_0063_V,PRINCIPAL
TNS_0064_V,PRINCIPAL
TNS_0065_V,PRINCIPAL
TNS_0066_V,PRINCIPAL
TNS_0067_V,PRINCIPAL
TNS_0068_V,PRINCIPAL
TNS_0069_V,PRINCIPAL
TNS_0070_V,PRINCIPAL
TNS_0071_V,PRINCIPAL
TNS_0072_V,PRINCIPAL
TNS_0073_V,PRINCIPAL
TNS_0074_V,PRINCIPAL
TNS_0075_V,PRINCIPAL
TNS_0076_V,PRINCIPAL
TNS_0077_V,PRINCIPAL
TNS_0078_V,PRINCIPAL
TNS_0079_V,PRINCIPAL
TNS_0080_V,PRINCIPAL
TNS_0081_V,PRINCIPAL
TNS_0082_V,PRINCIPAL
TNS_0083_V,PRINCIPAL
TNS_0084_V,PRINCIPAL
TNS_0085_V,PRINCIPAL
TNS_0086_V,PRINCIPAL
TNS_0087_V,PRINCIPAL
TNS_0088_V,PRINCIPAL
TNS_0089_V,PRINCIPAL
TNS_0090_V,PRINCIPAL
TNS_0091_V,PRINCIPAL
TNS_0092_V,PRINCIPAL
TNS_0093_V,PRINCIPAL
TNS_0094_V,PRINCIPAL
TNS_0095_V,PRINCIPAL
TNS_0096_V,PRINCIPAL
TNS_0097_V,PRINCIPAL
TNS_0098_V,PRINCIPAL
TNS_0099_V,PRINCIPAL
TNS_0100_V,DUPLICATE
TNS_0101_V,PRINCIPAL
TNS_0102_V,PRINCIPAL
TNS_0103_V,DUPLICATE
TNS_0104_V,PRINCIPAL
TNS_0105_V,PRINCIPAL
TNS_0106_V,DUPLICATE
TNS_0107_V,DUPLICATE
TNS_0108_V,DUPLICATE
TNS_0109_V,DUPLICATE
TNS_0110_V,DUPLICATE
TNS_0111_V,DUPLICATE
TNS_0112_V,DUPLICATE
TNS_0113_V,DUPLICATE
TNS_0114_V,PRINCIPAL
TNS_0115_V,PRINCIPAL
TNS_0116_V,DUPLICATE
TNS_0117_V,PRINCIPAL
TNS_0118_V,PRINCIPAL
TNS_0119_V,PRINCIPAL
TNS_0120_V,DUPLICATE
TNS_0121_V,DUPLICATE
TNS_0122_V,PRINCIPAL
TNS_0123_V,DUPLICATE
TNS_0124_V,PRINCIPAL
TNS_0125_V,DUPLICATE
TNS_0126_V,DUPLICATE
TNS_0127_V,DUPLICATE
TNS_0128_V,PRINCIPAL
TNS_0129_V,PRINCIPAL
TNS_0130_V,PRINCIPAL
TNS_0131_V,DUPLICATE
TNS_0132_V,PRINCIPAL
TNS_0133_V,PRINCIPAL
TNS_0134_V,DUPLICATE
TNS_0135_V,PRINCIPAL
TNS_0136_V,PRINCIPAL
TNS_0137_V,PRINCIPAL
TNS_0138_V,PRINCIPAL
TNS_0139_V,PRINCIPAL
TNS_0140_V,PRINCIPAL
TNS_0141_V,PRINCIPAL
TNS_0142_V,PRINCIPAL
TNS_0143_V,PRINCIPAL
TNS_0144_V,PRINCIPAL
TNS_0145_V,PRINCIPAL
TNS_0146_V,PRINCIPAL
TNS_0147_V,PRINCIPAL
TNS_0148_V,PRINCIPAL
TNS_0149_V,PRINCIPAL
